datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-05-24T06:26:30+02:00;2023-05-24;dc98c851e03bce3f7a793976dc26d46ab8540d9a;cairn;CAIRN;Cairn;ARTICLE;HTML;1262-3490;1969-6949;revue-carrefours-de-l-education;;Carrefours de l'éducation;2005;revue-carrefours-de-l-education-2005-2-page-61;www.cairn.info;N;b371c94d32f91d9583e3fe2e4e711666c7a60fa1;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;b2c45464f3816f7ba888b4898b693569d9832bba;;https://www.cairn.info:443/revue-carrefours-de-l-education-2005-2-page-61.htm;200;245734
2023-05-24T06:33:39+02:00;2023-05-24;dc98c851e03bce3f7a793976dc26d46ab8540d9a;cairn;CAIRN;Cairn;ARTICLE;HTML;0247-106X;1782-1568;revue-staps;;Staps;2021;revue-staps-2021-3-page-43;www.cairn.info;N;7329db44f1da1eb1d7db689b74753467bb3bd2c1;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;48.8582;2.3387;b2c45464f3816f7ba888b4898b693569d9832bba;;https://www.cairn.info:443/revue-staps-2021-3-page-43.htm;200;244177
2023-05-24T07:36:00+02:00;2023-05-24;2677535eb0455c251c6b46fd0d282457e3a47f90;dalloz;Dalloz;Dalloz;;HTML;;;;;;;ENCY/CIV/RUB000106/2021-10/PLAN/0090;www.dalloz.fr;N;c03900fd4e0dd033fc29a4bb7f1c3476e6a274e0;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;43.2951;5.3861;1259eee192f2e656dc732ca7ddbc9eee5016b5ad;;https://www.dalloz.fr:443/documentation/Document?ctxt=0_YSR0MD0iaW50w6lyZXNzZSBsJ29yZHJlIHB1YmxpYyLCp3gkc2Y9c2ltcGxlLXNlYXJjaA%3D%3D&ctxtl=0_cyRwYWdlTnVtPTHCp3MkdHJpZGF0ZT1GYWxzZcKncyRzb3J0PSNkZWZhdWx0X0Rlc2PCp3Mkc2xOYlBhZz0yMMKncyRpc2Fibz1UcnVlwqdzJHBhZ2luZz1UcnVlwqdzJG9uZ2xldD3Cp3MkZnJlZXNjb3BlPUZhbHNlwqdzJHdvSVM9RmFsc2XCp3Mkd29TUENIPUZhbHNlwqdzJGZsb3dNb2RlPUZhbHNlwqdzJGJxPcKncyRzZWFyY2hMYWJlbD3Cp3Mkc2VhcmNoQ2xhc3M9&id=ENCY%2FCIV%2FRUB000106%2F2021-10%2FPLAN%2F0090;200;279973
2023-05-24T07:43:41+02:00;2023-05-24;2677535eb0455c251c6b46fd0d282457e3a47f90;dalloz;Dalloz;Dalloz;;HTML;;;;;;;ENCY/CIV/RUB000235/2017-12/PLAN012;www.dalloz.fr;N;97dd8cae6b5e73c0e24cb18c3298f2ea80f7c82c;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;43.2951;5.3861;1259eee192f2e656dc732ca7ddbc9eee5016b5ad;;https://www.dalloz.fr:443/documentation/Document?ctxt=0_YSR0MD1yZW5vbmNlciBkcm9pdCBmdXR1ciBvcmRyZSBwdWJsaWPCp3gkc2Y9c2ltcGxlLXNlYXJjaA%3D%3D&ctxtl=0_cyRwYWdlTnVtPTHCp3MkdHJpZGF0ZT1GYWxzZcKncyRzb3J0PSNkZWZhdWx0X0Rlc2PCp3Mkc2xOYlBhZz0yMMKncyRpc2Fibz1UcnVlwqdzJHBhZ2luZz1UcnVlwqdzJG9uZ2xldD3Cp3MkZnJlZXNjb3BlPUZhbHNlwqdzJHdvSVM9RmFsc2XCp3Mkd29TUENIPUZhbHNlwqdzJGZsb3dNb2RlPUZhbHNlwqdzJGJxPcKncyRzZWFyY2hMYWJlbD3Cp3Mkc2VhcmNoQ2xhc3M9&id=ENCY%2FCIV%2FRUB000235%2F2017-12%2FPLAN012;200;280345
2023-05-24T07:55:20+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·1;nouveau.europresse.com;N;c19dcb542c31fa771c3d7aaba926c7187edea585;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B71;200;1243
2023-05-24T07:57:30+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·2;nouveau.europresse.com;N;179387d9cbaea3bdd5334f670fe601c5b7dac7eb;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B72;200;1243
2023-05-24T07:58:28+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·3;nouveau.europresse.com;N;d7d5085ec45dcb01c0f8b82093dc38d2c5ec43a9;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B73;200;1243
2023-05-24T08:01:07+02:00;2023-05-24;2677535eb0455c251c6b46fd0d282457e3a47f90;dalloz;Dalloz;Dalloz;;HTML;;;;;;;ENCY/COMR/RUB000049/2019-02/PLAN/0044;www.dalloz.fr;N;fde3f538b38e61b7dbaedfaaf92c238a64648c29;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;43.2951;5.3861;1259eee192f2e656dc732ca7ddbc9eee5016b5ad;;https://www.dalloz.fr:443/documentation/Document?ctxt=0_YSR0MD0ibCdvcmRyZSBwdWJsaWMgcydpbnTDqXJlc3NlIsKneCRzZj1zaW1wbGUtc2VhcmNo&ctxtl=0_cyRwYWdlTnVtPTHCp3MkdHJpZGF0ZT1GYWxzZcKncyRzb3J0PSNkZWZhdWx0X0Rlc2PCp3Mkc2xOYlBhZz0yMMKncyRpc2Fibz1UcnVlwqdzJHBhZ2luZz1UcnVlwqdzJG9uZ2xldD3Cp3MkZnJlZXNjb3BlPUZhbHNlwqdzJHdvSVM9RmFsc2XCp3Mkd29TUENIPUZhbHNlwqdzJGZsb3dNb2RlPUZhbHNlwqdzJGJxPcKncyRzZWFyY2hMYWJlbD3Cp3Mkc2VhcmNoQ2xhc3M9&id=ENCY%2FCOMR%2FRUB000049%2F2019-02%2FPLAN%2F0044;200;285933
2023-05-24T08:01:24+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·4;nouveau.europresse.com;N;d9b90c4b406d693f2ca0bcf59567f364e16231e8;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B74;200;1243
2023-05-24T08:03:30+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·5;nouveau.europresse.com;N;b86ab36e6d93f229f44b6a9672758fdfd936af2a;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B75;200;1243
2023-05-24T08:04:32+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·6;nouveau.europresse.com;N;5c2d26d5a9a41b70055f419ff990fc368a7a82a9;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B76;200;1243
2023-05-24T08:06:04+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·7;nouveau.europresse.com;N;e74e51eb6576e090fa8ad324e73d1aba2935b6bf;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B77;200;1243
2023-05-24T08:06:37+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·8;nouveau.europresse.com;N;b5e06c2a1385f7d8be07b1cbe5c2e705077c809f;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B78;200;1243
2023-05-24T08:07:04+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·9;nouveau.europresse.com;N;49f07fa3df86e359ee25da0f24e95b5e52bdc901;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B79;200;1243
2023-05-24T08:08:01+02:00;2023-05-24;d7b9d5c28f2cbd2c652e134763ca661978a81575;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230524·NIC_P·10;nouveau.europresse.com;N;8305d2a8de7cd5040ccb873c15797f92e1c2bd8b;3.8.0;2022-10-24;bab026b;2023-03-30;3f68da53;2023-05-10;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;e09be7234c7bf20cf11200a41f0f148883a272e8;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230524%C2%B7NIC_P%C2%B710;200;1243
