datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-08-29T06:35:03+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·1;nouveau.europresse.com;N;e5d700c2dee4b57c74b7cfb892863fe7f421bdfc;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B71;200;1243
2023-08-29T06:35:51+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·2;nouveau.europresse.com;N;a205e8f595a6d2a68c3cba7526e6372cd9148a6f;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B72;200;1243
2023-08-29T06:37:44+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·3;nouveau.europresse.com;N;ced817e03905203b219e4bc350af9cca1fcdef98;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B73;200;1243
2023-08-29T06:39:09+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·4;nouveau.europresse.com;N;19deaf8168de78bd0de9dc71a1933f5e8730f05e;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B74;200;1243
2023-08-29T06:39:23+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·5;nouveau.europresse.com;N;7164821d9f39fe7776ea3fd9e1ea39f402b34e36;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B75;200;1243
2023-08-29T06:39:28+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·6;nouveau.europresse.com;N;f08b8bd18888eb86d99e038484d20ac7c21e9e2d;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B76;200;1243
2023-08-29T06:42:04+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·7;nouveau.europresse.com;N;a6ab11ba93dc64273879fed22e5fd2182eb73c2f;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B77;200;1243
2023-08-29T06:42:12+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·8;nouveau.europresse.com;N;f422a94bbb2a9cc314032309a009e7f44f959cae;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B78;200;1243
2023-08-29T06:43:37+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·9;nouveau.europresse.com;N;58406136415438555604f1382671daa70ec01561;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B79;200;1243
2023-08-29T06:48:33+02:00;2023-08-29;2102d1fc624fc3b7ecd5419785b8138e9f62ab01;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230829·NIC_P·10;nouveau.europresse.com;N;e87f22e9cb46630c2d504dc62b958b849fd4c4b4;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;946abf9679418f187ab0397df69036e6a54550b6;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230829%C2%B7NIC_P%C2%B710;200;1243
