datetime;date;login;platform;platform_name;publisher_name;rtype;mime;print_identifier;online_identifier;title_id;doi;publication_title;publication_date;unitid;domain;on_campus;log_id;ezpaarse_version;ezpaarse_date;middlewares_version;middlewares_date;platforms_version;platforms_date;middlewares;title;type;subject;geoip-country;geoip-latitude;geoip-longitude;host;identd;url;status;size
2023-09-12T06:05:07+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·18;nouveau.europresse.com;N;c303695f7608c4166b8256d34d8b73c65900ce91;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B718;200;1243
2023-09-12T06:06:13+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·19;nouveau.europresse.com;N;4a69f6a762dfc58769a62d3a083bb9cd96ca0982;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B719;200;1243
2023-09-12T06:06:14+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·20;nouveau.europresse.com;N;2eb1f2aeb290ec6b55ef17b6b855e919e8fd0aeb;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B720;200;1243
2023-09-12T06:06:20+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·21;nouveau.europresse.com;N;c8f27a7e9f670c019dc407dd5869b44643706a7e;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B721;200;1243
2023-09-12T06:06:31+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·22;nouveau.europresse.com;N;516d19909696f16fddfa814b93bf57ed161daea7;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B722;200;1243
2023-09-12T06:06:42+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·23;nouveau.europresse.com;N;47b32b2550bc6df797c6b371d9dd942f470bfbdd;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B723;200;1243
2023-09-12T06:06:48+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·24;nouveau.europresse.com;N;7288e825e508ebc4b8efe6c7068768886bf5c7d3;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B724;200;1243
2023-09-12T06:06:54+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·25;nouveau.europresse.com;N;8916ef7fe7dded17a23ac641482e7398d2dfdbde;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B725;200;1243
2023-09-12T06:07:41+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·26;nouveau.europresse.com;N;8fe938c294a21c9989a907998393f3f71814a719;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B726;200;1243
2023-09-12T06:07:55+02:00;2023-09-12;6f63b93a533c16f8caba5d20c36e0e5560213a9d;europresse;Europresse;CEDROM-SNi;ARTICLE;PDF;;;;;;;pdf·20230912·NIC_P·27;nouveau.europresse.com;N;01cb213027df3d6599eeaca5af06710bc901f487;3.9.2;2023-09-25;1df4e1f;2023-07-26;70ae7649;2023-09-22;filter, parser, deduplicator, istex, crossref, sudoc, hal, enhancer, geolocalizer, cut, on-campus-counter, qualifier, anonymizer;;;;FR;42.7028;9.45;0b4020a4293d27a1642e92434f0f05e542afc176;;https://nouveau.europresse.com:443/Pdf/ImageList?docName=pdf%C2%B720230912%C2%B7NIC_P%C2%B727;200;1243
