2024/03/30:01:29:54	82.127.237.219	ByZ2tGfsmN5C7Yi	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:02:44:40	80.13.178.160	4ePJq5cXAKkmhk6	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:02:48:32	86.229.32.166	grW14qtYjCMSUyL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:02:51:19	176.161.237.77	3sAhcbbEL046BlJ	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:03:41:53	90.73.155.99	XRMjjfNH5BoAgdG	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:03:42:22	90.73.155.99	XRMjjfNH5BoAgdG	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:04:09:03	89.95.239.161	mw5j8ajwzoAAeu0	proxy	search.ebscohost.com	https://search.ebscohost.com/?authtype=ip&custid=ns196131&groupid=main&profid=eds&returnToUrl=%2feds%2fpdfviewer%2fpdfviewer%3fvid%3d3%26sid%3dfe15113b-cfed-4ca1-b19a-829b6475c2e2%2540redis&vid=3&sid=fe15113b-cfed-4ca1-b19a-829b6475c2e2@redis&lang=fr
2024/03/30:05:11:00	37.68.65.103	9TPNcyCXIkNqRdu	proxy	www.cairn.info	https://www.cairn.info/liste-des-ouvrages.php
2024/03/30:05:14:21	92.150.102.246	1utRbyiIu6mTxEs	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:05:14:27	92.150.102.246	1utRbyiIu6mTxEs	proxy	bibliotheque.lefebvre-dalloz.fr	https://bibliotheque.lefebvre-dalloz.fr/secure
2024/03/30:05:22:44	109.208.38.195	cn4DiWCGFPfX6jr	proxy	www.cairn.info	https://www.cairn.info/feuilleter.php?ID_ARTICLE=ARCO_LEPAG_2019_01_0081
2024/03/30:06:05:37	92.150.102.246	1utRbyiIu6mTxEs	proxy	bibliotheque.lefebvre-dalloz.fr	https://bibliotheque.lefebvre-dalloz.fr/secure
2024/03/30:06:11:32	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/Search/ResultMobile/1
2024/03/30:06:11:44	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:12:33	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:12:45	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
